Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
5471,None,"Python, Java, SQL","Excellent communication skills, A curious mindset with a passion for understanding user behavior and improving customer experience",None,Experience or coursework in Computer Science,None
5472,Master's or PhD,"C++, Python",None,None,Experience working with simulation systems or robotics platforms,None
5473,None,"PC and Apple hardware, troubleshooting operating systems","Superior written and verbal communication skills, Outstanding attention to detail",None,High level of experience in troubleshooting operating systems,None
5474,Senior nursing student,None,"Ability to communicate effectively and follow instructions, Ability to maintain effective working relations with others",None,Knowledge of basic nursing techniques and procedures,None
5475,Bachelor's or related field,"Golang, JavaScript, Ruby","Self-motivated and committed to personal growth, Approach problems with positive energy",None,Have programming experience,None
5476,Bachelor?€?s or Master?€?s,MS Excel,None,None,None,None
5477,Bachelor?€?s or Master?€?s,None,"Strong analytical skills, Excellent communication and collaboration skills",None,Passion for designing intuitive user experiences and simplifying complex workflows,None
5478,None,None,"Strong communication abilities, Willingness to learn through hands-on work experience",None,Enthusiastic about sophisticated engineering work product development,None
5479,Undergraduate Degree,None,"Strong research and prospecting abilities, Self-starter and highly motivated, Excellent communication skills, written and verbal",None,None,None
5480,None,"Excel, Google Sheets, SQL, Access, Power BI","Strong analytical skills, Good communication and organizational skills",None,"Familiarity with data visualization tools, Knowledge of relational databases and ETL processes",None
5481,BS in Computer Science,None,"Ability to learn quickly in a dynamic environment, Ability to effectively communicate with team and manager, Team player with motivation and accountability skills",None,None,None
5482,DVM program,None,None,None,None,None
5483,Bachelor?€?s or master?€?s,None,Passionate about working with athletic populations,None,Current CPR/AED and First Aid certifications,None
5484,None,Microsoft Office,"Exceptional interpersonal and relationship-building abilities, Strong organizational, communication, troubleshooting skills, Ability to work effectively in a team setting",None,None,None
5485,Bachelor's,None,Strong communication skills,None,Prior relevant work/internship experiences preferred,None
5486,PharmD,None,None,None,"1+ years of related work experience in pharmacy, retail, medical, or customer service setting",1+ years
5487,Bachelor's,"MS Office (Excel, Word, PowerPoint)",Demonstrated strong interpersonal skills for effective collaboration,None,Completion of at least 2 years of relevant coursework,None
5488,Bachelor?€?s,Microsoft (MS) Windows and Office products,Willingness to learn new technologies,None,General knowledge of accounting principles and reporting of financial data,None
5489,Bachelor?€?s or Master?€?s,"MS Excel, MS Word",None,None,None,None
5490,None,"SQL, Python","Problem solver at heart, Knack for creative problem solving, Desire to grow your skill set through collaboration",None,None,None
5491,Bachelor?€?s,"MIS systems, facilities related software programs","Ability to manage multiple tasks and deadlines, Strong attention to detail",None,None,None
5492,Undergraduate,"MS Office Suite, ERP, Adobe Creative Suite, Solidworks, Keyshot","Strong communication and interpersonal skills, Ability to work collaboratively",None,"Must have experience using Adobe Creative Suite, Solidworks, and/or Keyshot",None
5493,BS or MS,CAD software (SolidWorks preferred),None,None,"Experience in rapid prototyping, designing for 3D printing, Drone or model aircraft experience",None
5494,Undergraduate,"SQL, SAS, Tableau, Epic",None,None,None,None
5495,Undergraduate,"Microsoft programs (Word, Excel, PowerPoint)",Ability to work effectively in a team environment,None,None,None
5496,High School Diploma/GED or equivalent,"MicroStation, Autocad",None,None,Completed 1+ year(s) of Surveying courses,None
5497,None,None,"Ability to communicate effectively, Commitment to Avera?€?s mission, vision, core values, and social principles",None,None,None
5498,Undergraduate,"Microsoft Office Suite (Word, Excel, PowerPoint)","Strong organizational and communication skills, Detail-oriented, Ability to handle multiple tasks, Ability to maintain confidentiality",None,None,None
5499,None,"Microsoft Office, Excel, PowerPoint, Word","Self-motivated, Strong communication skills",None,None,None
5500,Bachelor?€?s or Master?€?s,None,"Excellent communication and interpersonal skills, Detail-oriented, Organized, Ability to multitask, Excellent written and verbal communication skills",None,None,None
5501,Undergraduate,None,"Eager to learn, Highly motivated, Strong oral and written communication skills",None,None,None
5502,Bachelor?€?s,"Canva, Figma, Adobe Creative Suite",Excited about Graphic Design,"Fluent in English, French",Event coordination and project management,None
5503,Undergraduate,"Python, lean manufacturing techniques",Enjoy working in a lab environment,None,None,None
5504,Bachelor?€?s or higher,"Microsoft Office, Windows operating environment",None,None,None,None
5505,Bachelor?€?s,"TypeScript, JavaScript","Demonstrated intellectual curiosity, Ability to work autonomously, Share knowledge within a team",None,"Experience in building, testing, and deploying client-side applications",None
5506,None,None,None,None,None,None
5507,Undergraduate,"Python, NumPy/Pandas, Scikit-learn, data exploration and visualization tools",Excellent written and verbal communication skills,None,Strong understanding of machine learning techniques,None
5508,Bachelor?€?s,ERP system,"Self-motivated, Desire to learn",None,Demonstrated analytical capabilities,None
5509,Undergraduate,"CAD, MS Office Suite (Excel, Word, Outlook)","Strong analytical and problem-solving skills, Attention to detail",None,Knowledge of P&IDs and schematics preferred,None
5510,Bachelor?€?s,"SQL, Python, Git, Linux, Google Cloud Platform, Airflow, Snowflake","Ability to work collaboratively in a fast-paced, team-oriented environment",None,None,None
5511,Undergraduate,"Microsoft Office Suite (Word, Excel, PowerPoint)","Strong attention to detail, Ability to analyze data effectively",None,"Strong interest in information security, risk management, and compliance frameworks",None
5512,Associates or above,"Excel, Power BI","Strong attention to detail, Organizational skills, Excellent communication skills, Ability to work with a team",None,None,None
